genre_ids,origin_country,original_language,popularity,vote_average,vote_count,year
"[10767, 10764]",['TW'],zh,22.6135,7.7,3,2004.0
[35],['US'],en,26.2464,7.6,687,2009.0
"[10765, 10759, 18]",['US'],en,24.8129,8.0,731,1989.0
[18],['GB'],en,25.5659,7.5,238,2012.0
"[80, 18, 10759]",['US'],en,22.3726,8.147,795,2002.0
[35],['GB'],en,34.5153,7.0,55,1996.0
[10767],['DE'],de,27.25,5.5,14,2008.0
"[10764, 35]",['KR'],ko,23.7733,7.5,37,2015.0
[35],['US'],en,24.9169,7.9,310,2021.0
[18],['US'],en,24.4638,8.1,3017,2020.0
"[10759, 18, 80]",['US'],en,25.4253,8.208,4072,2014.0
"[18, 35]",['UA'],uk,24.8891,4.1,7,2020.0
[10767],['US'],en,24.767,6.7,6,2014.0
[10767],['US'],en,24.7152,6.0,26,2022.0
"[18, 9648]",['US'],en,24.1778,7.979,2703,2010.0
[35],['US'],en,25.5422,7.6,617,1982.0
[18],['US'],en,24.5628,8.135,1362,2007.0
"[80, 18, 9648, 10765]",['US'],en,27.7514,7.5,545,2005.0
"[10764, 10767]",['GB'],en,26.6554,7.522,810,2002.0
[35],['US'],en,27.8542,8.009,1991,2001.0
[10764],['KR'],ko,24.186,8.1,15,2013.0
"[16, 10759, 10765]",['JP'],ja,25.1538,8.557,1490,2012.0
[18],['KR'],ko,24.0172,8.3,6,2025.0
[18],['GB'],en,22.596,6.9,96,2021.0
"[80, 18]",['US'],en,23.8354,8.0,1277,2013.0
[18],['JP'],ja,24.8742,0.0,0,2025.0
"[16, 80, 9648, 35]",['JP'],ja,24.3395,8.0,711,1996.0
[],['CN'],zh,19.584,0.0,0,2024.0
"[16, 35, 10765, 10762]","['CA', 'US']",en,25.4086,7.6,1047,2001.0
"[10765, 18, 10759]",['US'],en,24.8018,7.9,2387,2022.0
"[18, 9648]",['JP'],ja,28.3409,7.2,57,2023.0
"[16, 10759, 10765]",['JP'],ja,23.7848,6.8,12,2024.0
"[16, 10759, 10765]",['JP'],ja,24.2406,8.642,6867,2019.0
"[35, 18]",['US'],en,23.5079,6.8,884,2009.0
"[18, 80]",['GB'],en,24.3661,7.3,3,2025.0
"[10765, 10759]",['US'],en,24.0355,8.241,3019,2022.0
[35],['US'],en,24.6903,7.709,1100,1987.0
[18],['KR'],ko,22.5072,8.467,30,2025.0
"[10765, 18]",['US'],en,25.6564,7.455,2392,2006.0
[18],['US'],en,24.9033,7.973,167,2025.0
"[18, 80, 10765]",['US'],en,22.747,7.793,2868,2015.0
"[80, 35, 18]",['KR'],ko,23.7339,7.7,10,2025.0
[80],"['XG', 'DE']",de,23.1338,6.3,22,1971.0
"[16, 35, 18, 10765]",['US'],en,24.0433,8.679,1336,2024.0
"[35, 10763]",['GR'],el,22.5108,6.7,3,2008.0
[10766],['NL'],nl,24.7778,5.3,19,1990.0
"[35, 10751, 10762, 18]",['US'],en,23.5859,8.281,1123,2014.0
"[37, 18]",['US'],en,21.8741,5.8,21,1955.0
"[80, 18, 9648]",['US'],en,23.3799,7.6,117,1974.0
"[10767, 35]",['US'],en,23.4883,5.0,79,2009.0
[35],['US'],en,20.0806,6.7,57,1989.0
"[80, 18]",['US'],en,28.3305,8.057,3039,2015.0
"[35, 18]",['US'],en,24.8058,7.656,2661,2013.0
[10767],['DE'],de,27.6862,5.0,4,2014.0
"[10765, 9648, 18]",['US'],en,25.2418,8.5,954,1959.0
"[18, 10759]",['GB'],en,23.4237,7.6,28,2025.0
"[18, 80]",['US'],en,23.5704,7.852,518,2021.0
"[18, 37]",['US'],en,19.231,6.8,20,1955.0
